target_id	length	eff_length	est_counts	tpm
Gorai.001G000100.1.A	299	189.285	0	0
Gorai.001G000100.1.D	299	189.285	0	0
Gorai.001G000200.1.A	505	394.993	9.55161	1.19279
Gorai.001G000200.1.D	505	394.993	1.91032	0.238558
Gorai.001G000300.1.A	587	476.993	5.28576	0.546603
Gorai.001G000300.1.D	587	476.993	12.0783	1.24902
Gorai.001G000400.1.A	1443	1332.94	50	1.85027
Gorai.001G000400.1.D	1443	1332.94	0	0
Gorai.001G000500.1.A	983	872.944	57.1222	3.22772
Gorai.001G000500.1.D	983	872.944	39.8778	2.25331
Gorai.001G000600.1.A	675	564.944	0	0
Gorai.001G000600.1.D	675	564.944	0	0
Gorai.001G000700.1.A	935	824.944	1	0.0597932
Gorai.001G000700.1.D	935	824.944	1	0.0597932
Gorai.001G000800.1.A	1784	1673.94	79.743	2.34979
Gorai.001G000800.1.D	1784	1673.94	103.257	3.04267
Gorai.001G000900.1.A	1551	1440.94	596.416	20.4164
Gorai.001G000900.1.D	1551	1440.94	703.584	24.0849
Gorai.001G001000.1.A	1974	1863.94	105.538	2.79289
Gorai.001G001000.1.D	1974	1863.94	146.462	3.87585
Gorai.001G001100.1.A	2591	2480.94	406.29	8.07786
Gorai.001G001100.1.D	2591	2480.94	281.71	5.60094
Gorai.001G001200.1.A	2440	2329.94	1464.44	31.0029
Gorai.001G001200.1.D	2440	2329.94	1332.56	28.211
Gorai.001G001300.1.A	2275	2164.94	1285.77	29.2951
Gorai.001G001300.1.D	2275	2164.94	996.226	22.698
Gorai.001G001400.1.A	1869	1758.94	58.0556	1.62805
Gorai.001G001400.1.D	1869	1758.94	74.9444	2.10167
Gorai.001G001500.1.A	1636	1525.94	211.983	6.85234
Gorai.001G001500.1.D	1636	1525.94	267.017	8.63131
Gorai.001G001600.1.A	2414	2303.94	415.417	8.89384
Gorai.001G001600.1.D	2414	2303.94	320.583	6.86348
Gorai.001G001700.1.A	621	510.993	0	0
Gorai.001G001700.1.D	621	510.993	0	0
Gorai.001G001800.1.A	1622	1511.94	136.674	4.45888
Gorai.001G001800.1.D	1622	1511.94	81.3264	2.65322
Gorai.001G001900.1.A	1893	1782.94	43.971	1.21648
Gorai.001G001900.1.D	1893	1782.94	30.029	0.830767
Gorai.001G002000.1.A	2575	2464.94	448.943	8.98381
Gorai.001G002000.1.D	2575	2464.94	207.803	4.15835
