target_id	length	eff_length	est_counts	tpm
Gorai.001G000100.1.A	299	193.178	0	0
Gorai.001G000100.1.D	299	193.178	1	0.298642
Gorai.001G000200.1.A	505	399.138	9.0177	1.30341
Gorai.001G000200.1.D	505	399.138	3.60708	0.521366
Gorai.001G000300.1.A	587	481.138	1.5388	0.184511
Gorai.001G000300.1.D	587	481.138	19.6264	2.35332
Gorai.001G000400.1.A	1443	1337.14	234	10.096
Gorai.001G000400.1.D	1443	1337.14	0	0
Gorai.001G000500.1.A	983	877.138	65.122	4.28321
Gorai.001G000500.1.D	983	877.138	23.878	1.57051
Gorai.001G000600.1.A	675	569.138	0	0
Gorai.001G000600.1.D	675	569.138	0	0
Gorai.001G000700.1.A	935	829.138	0	0
Gorai.001G000700.1.D	935	829.138	0	0
Gorai.001G000800.1.A	1784	1678.14	34.5349	1.18724
Gorai.001G000800.1.D	1784	1678.14	10.4651	0.359771
Gorai.001G000900.1.A	1551	1445.14	278.952	11.136
Gorai.001G000900.1.D	1551	1445.14	308.502	12.3157
Gorai.001G001000.1.A	1974	1868.14	77.3115	2.38751
Gorai.001G001000.1.D	1974	1868.14	53.6885	1.65799
Gorai.001G001100.1.A	2591	2485.14	220.952	5.12929
Gorai.001G001100.1.D	2591	2485.14	243.048	5.64222
Gorai.001G001200.1.A	2440	2334.14	994.494	24.5802
Gorai.001G001200.1.D	2440	2334.14	1172.51	28.98
Gorai.001G001300.1.A	2275	2169.14	760.335	20.2221
Gorai.001G001300.1.D	2275	2169.14	711.665	18.9277
Gorai.001G001400.1.A	1869	1763.14	48.3469	1.58195
Gorai.001G001400.1.D	1869	1763.14	54.6531	1.78829
Gorai.001G001500.1.A	1636	1530.14	133.203	5.02219
Gorai.001G001500.1.D	1636	1530.14	278.797	10.5116
Gorai.001G001600.1.A	2414	2308.14	229.234	5.72962
Gorai.001G001600.1.D	2414	2308.14	218.766	5.46799
Gorai.001G001700.1.A	621	515.138	0	0
Gorai.001G001700.1.D	621	515.138	0	0
Gorai.001G001800.1.A	1622	1516.14	59.8909	2.27893
Gorai.001G001800.1.D	1622	1516.14	62.1091	2.36334
Gorai.001G001900.1.A	1893	1787.14	16.1111	0.520088
Gorai.001G001900.1.D	1893	1787.14	12.8889	0.41607
Gorai.001G002000.1.A	2575	2469.14	349.042	8.15532
Gorai.001G002000.1.D	2575	2469.14	158.958	3.71405
Gorai.001G002100.1.A	1933	1827.14	3	0.0947238
Gorai.001G002100.1.D	1933	1827.14	0	0
Gorai.001G002200.1.A	1511	1405.14	72.8129	2.9895
Gorai.001G002200.1.D	1511	1405.14	98.1871	4.0313
Gorai.001G002300.1.A	9038	8932.14	635.316	4.1034
Gorai.001G002300.1.D	9038	8932.14	653.684	4.22203
Gorai.001G002400.1.A	1315	1209.14	208.201	9.93381
Gorai.001G002400.1.D	1315	1209.14	320.799	15.3062
Gorai.001G002500.1.A	1371	1265.14	1	0.0456007
Gorai.001G002500.1.D	1371	1265.14	0	0
Gorai.001G002600.1.A	1892	1786.14	0	0
Gorai.001G002600.1.D	1892	1786.14	0	0
Gorai.001G002700.1.A	3129	3023.14	128.438	2.451
Gorai.001G002700.1.D	3129	3023.14	8.5625	0.1634
Gorai.001G002800.1.A	1758	1652.14	10.6875	0.373198
Gorai.001G002800.1.D	1758	1652.14	8.3125	0.290265
Gorai.001G002900.1.A	3057	2951.14	0	0
Gorai.001G002900.1.D	3057	2951.14	0	0
Gorai.001G003000.1.A	2943	2837.14	0	0
Gorai.001G003000.1.D	2943	2837.14	0	0
Gorai.001G003100.1.A	4194	4088.14	0	0
Gorai.001G003100.1.D	4194	4088.14	0	0
Gorai.001G003200.1.A	2367	2261.14	8.68421	0.221571
Gorai.001G003200.1.D	2367	2261.14	156.316	3.98827
Gorai.001G003300.1.A	2132	2026.14	527.02	15.0061
Gorai.001G003300.1.D	2132	2026.14	470.98	13.4104
Gorai.001G003400.1.A	496	390.138	2	0.295748
Gorai.001G003400.1.D	496	390.138	5	0.739369
Gorai.001G003500.1.A	2044	1938.14	94	2.79803
Gorai.001G003500.1.D	2044	1938.14	92	2.7385
Gorai.001G003600.1.A	2311	2205.14	1.37733	0.036034
Gorai.001G003600.1.D	2311	2205.14	10.2309	0.267662
Gorai.001G003700.1.A	2036	1930.14	261.453	7.81475
Gorai.001G003700.1.D	2036	1930.14	400.547	11.9722
Gorai.001G003800.1.A	1186	1080.14	10.3571	0.553185
Gorai.001G003800.1.D	1186	1080.14	18.6429	0.995732
Gorai.001G003900.1.A	1768	1662.14	0	0
Gorai.001G003900.1.D	1768	1662.14	0	0
Gorai.001G004000.1.A	2980	2874.14	45.5824	0.914954
Gorai.001G004000.1.D	2980	2874.14	76.4176	1.53389
Gorai.001G004100.1.A	1773	1667.14	0	0
Gorai.001G004100.1.D	1773	1667.14	0	0
Gorai.001G004200.1.A	1672	1566.14	165.115	6.08229
Gorai.001G004200.1.D	1672	1566.14	212.885	7.84194
Gorai.001G004300.1.A	1755	1649.14	0	0
Gorai.001G004300.1.D	1755	1649.14	0	0
Gorai.001G004400.1.A	1633	1527.14	0	0
Gorai.001G004400.1.D	1633	1527.14	178	6.72436
Gorai.001G004500.1.A	2100	1994.14	182.184	5.27064
Gorai.001G004500.1.D	2100	1994.14	286.816	8.2977
Gorai.001G004600.1.A	554	448.138	100.148	12.8926
Gorai.001G004600.1.D	554	448.138	3.85185	0.495869
Gorai.001G004700.1.A	773	667.138	0	0
Gorai.001G004700.1.D	773	667.138	4	0.345903
Gorai.001G004800.1.A	1302	1196.14	39.2566	1.89339
Gorai.001G004800.1.D	1302	1196.14	113.743	5.48598
Gorai.001G004900.1.A	694	588.138	320.897	31.4771
