target_id	length	eff_length	est_counts	tpm
Gorai.001G000100.1.A	299	191.014	0	0
Gorai.001G000100.1.D	299	191.014	2	0.416748
Gorai.001G000200.1.A	505	396.881	16	1.6046
Gorai.001G000200.1.D	505	396.881	0	0
Gorai.001G000300.1.A	587	478.881	16.3439	1.35842
Gorai.001G000300.1.D	587	478.881	31.3302	2.60401
Gorai.001G000400.1.A	1443	1334.88	47	1.4014
Gorai.001G000400.1.D	1443	1334.88	0	0
Gorai.001G000500.1.A	983	874.881	72.3934	3.2935
Gorai.001G000500.1.D	983	874.881	55.6066	2.52979
Gorai.001G000600.1.A	675	566.881	0	0
Gorai.001G000600.1.D	675	566.881	0	0
Gorai.001G000700.1.A	935	826.881	0.5	0.0240677
Gorai.001G000700.1.D	935	826.881	0.5	0.0240677
Gorai.001G000800.1.A	1784	1675.88	43.4237	1.03132
Gorai.001G000800.1.D	1784	1675.88	17.5763	0.417438
Gorai.001G000900.1.A	1551	1442.88	818.93	22.5904
Gorai.001G000900.1.D	1551	1442.88	1123.07	30.9802
Gorai.001G001000.1.A	1974	1865.88	162.298	3.46209
Gorai.001G001000.1.D	1974	1865.88	156.702	3.3427
Gorai.001G001100.1.A	2591	2482.88	555.135	8.8992
Gorai.001G001100.1.D	2591	2482.88	438.865	7.0353
Gorai.001G001200.1.A	2440	2331.88	1753.22	29.9252
Gorai.001G001200.1.D	2440	2331.88	1681.78	28.7059
Gorai.001G001300.1.A	2275	2166.88	1806.97	33.1912
Gorai.001G001300.1.D	2275	2166.88	1248.03	22.9244
Gorai.001G001400.1.A	1869	1760.88	106.655	2.41078
Gorai.001G001400.1.D	1869	1760.88	102.345	2.31338
Gorai.001G001500.1.A	1636	1527.88	258.653	6.73809
Gorai.001G001500.1.D	1636	1527.88	363.347	9.46541
Gorai.001G001600.1.A	2414	2305.88	441.616	7.62282
Gorai.001G001600.1.D	2414	2305.88	423.384	7.30812
Gorai.001G001700.1.A	621	512.881	0	0
