target_id	length	eff_length	est_counts	tpm
Gorai.001G000100.1.A	299	191.952	0	0
Gorai.001G000100.1.D	299	191.952	2	0.794804
Gorai.001G000200.1.A	505	397.704	3.5	0.671319
Gorai.001G000200.1.D	505	397.704	3.5	0.671319
Gorai.001G000300.1.A	587	479.704	1.535	0.244094
Gorai.001G000300.1.D	587	479.704	11.3531	1.80536
Gorai.001G000400.1.A	1443	1335.7	17	0.970868
Gorai.001G000400.1.D	1443	1335.7	0	0
Gorai.001G000500.1.A	983	875.704	21.913	1.90883
Gorai.001G000500.1.D	983	875.704	26.087	2.27241
Gorai.001G000600.1.A	675	567.704	0	0
Gorai.001G000600.1.D	675	567.704	0	0
Gorai.001G000700.1.A	935	827.704	0	0
Gorai.001G000700.1.D	935	827.704	0	0
Gorai.001G000800.1.A	1784	1676.7	22	1.00089
Gorai.001G000800.1.D	1784	1676.7	11	0.500447
Gorai.001G000900.1.A	1551	1443.7	347.57	18.3648
Gorai.001G000900.1.D	1551	1443.7	476.43	25.1735
Gorai.001G001000.1.A	1974	1866.7	42.117	1.72109
Gorai.001G001000.1.D	1974	1866.7	64.883	2.65141
Gorai.001G001100.1.A	2591	2483.7	183.52	5.63644
Gorai.001G001100.1.D	2591	2483.7	112.48	3.45459
Gorai.001G001200.1.A	2440	2332.7	670.212	21.9166
Gorai.001G001200.1.D	2440	2332.7	630.788	20.6274
Gorai.001G001300.1.A	2275	2167.7	683.183	24.0413
Gorai.001G001300.1.D	2275	2167.7	451.817	15.8995
Gorai.001G001400.1.A	1869	1761.7	32.9552	1.42696
Gorai.001G001400.1.D	1869	1761.7	36.0448	1.56074
Gorai.001G001500.1.A	1636	1528.7	89.888	4.48538
Gorai.001G001500.1.D	1636	1528.7	159.112	7.93965
Gorai.001G001600.1.A	2414	2306.7	117.695	3.89214
Gorai.001G001600.1.D	2414	2306.7	144.305	4.77211
Gorai.001G001700.1.A	621	513.704	0	0
Gorai.001G001700.1.D	621	513.704	0	0
Gorai.001G001800.1.A	1622	1514.7	18.6	0.936713
Gorai.001G001800.1.D	1622	1514.7	12.4	0.624475
Gorai.001G001900.1.A	1893	1785.7	5.52632	0.236074
Gorai.001G001900.1.D	1893	1785.7	15.4737	0.661007
Gorai.001G002000.1.A	2575	2467.7	125.714	3.88609
Gorai.001G002000.1.D	2575	2467.7	98.2857	3.03822
Gorai.001G002100.1.A	1933	1825.7	0	0
Gorai.001G002100.1.D	1933	1825.7	0	0
Gorai.001G002200.1.A	1511	1403.7	68.85	3.74154
Gorai.001G002200.1.D	1511	1403.7	237.15	12.8875
Gorai.001G002300.1.A	9038	8930.7	277.902	2.37371
Gorai.001G002300.1.D	9038	8930.7	412.098	3.51995
Gorai.001G002400.1.A	1315	1207.7	309.972	19.5787
Gorai.001G002400.1.D	1315	1207.7	429.028	27.0986
Gorai.001G002500.1.A	1371	1263.7	0	0
Gorai.001G002500.1.D	1371	1263.7	0	0
Gorai.001G002600.1.A	1892	1784.7	0	0
Gorai.001G002600.1.D	1892	1784.7	0	0
Gorai.001G002700.1.A	3129	3021.7	50	1.26223
Gorai.001G002700.1.D	3129	3021.7	12	0.302936
Gorai.001G002800.1.A	1758	1650.7	1.5	0.0693176
Gorai.001G002800.1.D	1758	1650.7	4.5	0.207953
Gorai.001G002900.1.A	3057	2949.7	0	0
Gorai.001G002900.1.D	3057	2949.7	0	0
Gorai.001G003000.1.A	2943	2835.7	0	0
Gorai.001G003000.1.D	2943	2835.7	0	0
Gorai.001G003100.1.A	4194	4086.7	10.6667	0.199103
Gorai.001G003100.1.D	4194	4086.7	21.3333	0.398205
Gorai.001G003200.1.A	2367	2259.7	4.55385	0.153726
Gorai.001G003200.1.D	2367	2259.7	69.4462	2.34433
Gorai.001G003300.1.A	2132	2024.7	266.083	10.0248
Gorai.001G003300.1.D	2132	2024.7	230.917	8.69995
Gorai.001G003400.1.A	496	388.704	632.083	124.044
Gorai.001G003400.1.D	496	388.704	662.917	130.095
Gorai.001G003500.1.A	2044	1936.7	57.8906	2.28017
Gorai.001G003500.1.D	2044	1936.7	72.1094	2.84021
Gorai.001G003600.1.A	2311	2203.7	8.10912	0.2807
Gorai.001G003600.1.D	2311	2203.7	19.627	0.679395
Gorai.001G003700.1.A	2036	1928.7	282.773	11.1839
Gorai.001G003700.1.D	2036	1928.7	199.227	7.87959
Gorai.001G003800.1.A	1186	1078.7	0	0
Gorai.001G003800.1.D	1186	1078.7	1	0.0707162
Gorai.001G003900.1.A	1768	1660.7	0	0
Gorai.001G003900.1.D	1768	1660.7	0	0
Gorai.001G004000.1.A	2980	2872.7	1277.33	33.9183
Gorai.001G004000.1.D	2980	2872.7	1596.67	42.3979
Gorai.001G004100.1.A	1773	1665.7	0	0
Gorai.001G004100.1.D	1773	1665.7	0	0
Gorai.001G004200.1.A	1672	1564.7	160.556	7.82735
Gorai.001G004200.1.D	1672	1564.7	179.444	8.74821
Gorai.001G004300.1.A	1755	1647.7	1	0.0462959
Gorai.001G004300.1.D	1755	1647.7	0	0
Gorai.001G004400.1.A	1633	1525.7	1	0.0499978
Gorai.001G004400.1.D	1633	1525.7	1	0.0499978
Gorai.001G004500.1.A	2100	1992.7	88.875	3.40219
Gorai.001G004500.1.D	2100	1992.7	148.125	5.67031
Gorai.001G004600.1.A	554	446.704	28	4.78145
Gorai.001G004600.1.D	554	446.704	0	0
Gorai.001G004700.1.A	773	665.704	0	0
Gorai.001G004700.1.D	773	665.704	0	0
Gorai.001G004800.1.A	1302	1194.7	69.619	4.44518
Gorai.001G004800.1.D	1302	1194.7	59.381	3.79148
Gorai.001G004900.1.A	694	586.704	68.2899	8.87888
Gorai.001G004900.1.D	694	586.704	7.71014	1.00245
Gorai.001G005000.1.A	1167	1059.7	47.04	3.38613
Gorai.001G005000.1.D	1167	1059.7	8.96	0.644978
Gorai.001G005100.1.A	803	695.704	0	0
Gorai.001G005100.1.D	803	695.704	2	0.219294
Gorai.001G005200.1.A	2688	2580.7	331.89	9.81019
Gorai.001G005200.1.D	2688	2580.7	206.11	6.09232
Gorai.001G005300.1.A	1090	982.704	1	0.0776245
Gorai.001G005300.1.D	1090	982.704	0	0
Gorai.001G005400.1.A	1650	1542.7	2	0.0988938
Gorai.001G005400.1.D	1650	1542.7	0	0
Gorai.001G005500.1.A	1881	1773.7	0	0
Gorai.001G005500.1.D	1881	1773.7	31	1.33322
Gorai.001G005600.1.A	2246	2138.7	142.983	5.09981
